token_id,rarity_score,last_sale_price,price,priceUsd,predictions,residual,abs_residual
6303,67.24427301376797,4.19,3.82,10375.804980209248,11619.74066346397,-1243.9356832547219,1243.9356832547219
9962,74.0502016983519,3.3,3.18,8010.6551517043135,9253.348488420088,-1242.6933367157744,1242.6933367157744
9705,57.60609780448812,4.97,4.88,12293.080861734925,13535.124961219479,-1242.044099484554,1242.044099484554
4306,95.5817342389994,4.384,4.49,11310.64202237496,12552.157555373422,-1241.5155329984627,1241.5155329984627
409,65.58378509104631,4.4,4.2,10580.11057772268,11820.914032913981,-1240.8034551913006,1240.8034551913006
9068,53.20314488676488,0.1829,0.25,1183.5293981158773,-56.46612597910962,1239.9955240949869,1239.9955240949869
9245,125.82924021872208,1.5228,1.84,4667.16716639805,5904.962771808279,-1237.7956054102297,1237.7956054102297
5897,149.95092700683594,0.228,0.44,1391.4036517766665,2628.754485471858,-1237.3508336951916,1237.3508336951916
9084,271.96453926995525,0.82,0.8,2321.641859013848,3558.3995938058074,-1236.7577347919596,1236.7577347919596
7798,88.76236962427032,2.5,3.333,8454.167481306902,7217.531204537588,1236.6362767693145,1236.6362767693145
8003,44.66972713447782,0.288,0.297,1370.773568351383,2606.250736475122,-1235.477168123739,1235.477168123739
1195,121.9027994790888,1.0,2.5,6312.85417445898,5078.464481673807,1234.3896927851729,1234.3896927851729
3266,46.09730169287363,18.88,0.3131,1445.0814957939997,2678.2161841778097,-1233.13468838381,1233.13468838381
788,392.5003541595249,0.8,1.19,5492.325071845608,6724.20767978273,-1231.882607937122,1231.882607937122
2636,126.8326067692827,0.255,0.269,1262.6818403343425,2494.2989618970532,-1231.6171215627107,1231.6171215627107
3187,169.33602038516264,0.37,0.245,700.7139096298631,1932.2361721683535,-1231.5222625384904,1231.5222625384904
5557,120.12309250312212,0.329,0.58,1394.1670792444413,2625.348026430499,-1231.1809471860577,1231.1809471860577
7470,40.26904432635179,2.25,2.28,5783.228880101931,7013.293332807245,-1230.0644527053137,1230.0644527053137
2478,124.8398472077216,0.312,1.0,4615.399220038326,3387.251432389775,1228.1477876485515,1228.1477876485515
6874,130.14047582189536,3.4,3.456,8766.157460365032,7539.79342489428,1226.3640354707513,1226.3640354707513
