token_id,1/1,4:20 watch,background,beard,chain,eyes,hat over headphones,hat under headphones,headphones,long hair,mouth,shirt,short hair,smoke,type
6324,0,0,yellow,0,0,regular eyes,0,0,white headphones,0,smile,0,0,cig black,plain mfer
6325,0,oyster silver,yellow,0,0,purple shades,0,headband blue/green,black headphones,0,smile,collared shirt white,0,cig black,plain mfer
6326,0,0,red,0,0,regular eyes,0,0,black headphones,0,smile,0,mohawk blue,0,charcoal mfer
6327,0,sub red,graveyard,full beard,0,zombie eyes,0,knit chicago,black headphones,0,flat,0,0,cig white,zombie mfer
6328,0,sub blue,green,0,0,purple shades,0,0,black headphones,0,smile,collared shirt white,mohawk green,0,plain mfer
6329,0,0,green,0,silver chain,regular eyes,0,headband blue/white,pink headphones,0,smile,0,0,0,plain mfer
6330,0,sub black,blue,0,0,regular eyes,pilot helmet,0,0,0,smile,hoodie down blue,0,cig black,charcoal mfer
6331,0,oyster silver,yellow,0,0,regular eyes,0,knit pittsburgh,black headphones,0,flat,0,0,cig white,plain mfer
6332,0,0,blue,0,0,vr,0,0,black headphones,0,smile,0,0,pipe,plain mfer
6333,0,sub red,orange,0,0,regular eyes,0,0,green headphones,0,smile,0,mohawk green,pipe,plain mfer
6334,0,sub black,red,0,0,eye mask,0,knit cleveland,white headphones,long hair yellow,smile,collared shirt white,0,cig white,plain mfer
6335,0,sub rose,yellow,0,0,shades,0,knit new york,blue headphones,0,flat,collared shirt blue,0,cig black,plain mfer
6336,0,oyster silver,orange,0,0,regular eyes,0,0,white headphones,long hair yellow,smile,collared shirt green,0,cig black,charcoal mfer
6337,0,sub black,green,0,0,regular eyes,0,0,black headphones,0,smile,0,messy red,cig white,charcoal mfer
6338,0,sub black,yellow,0,0,regular eyes,0,0,blue headphones,0,smile,collared shirt white,0,cig white,plain mfer
6339,0,0,blue,0,0,purple shades,0,0,black headphones,long hair yellow,smile,0,0,cig white,charcoal mfer
6340,0,oyster gold,red,0,0,vr,0,0,black headphones,0,smile,0,0,0,plain mfer
6341,0,0,red,0,0,purple shades,0,knit cleveland,black headphones,0,flat,collared shirt blue,0,cig white,plain mfer
6342,0,sub turquoise,green,full beard,0,regular eyes,0,beanie monochrome,black headphones,0,smile,collared shirt blue,0,cig black,plain mfer
6343,0,sub black,blue,0,0,shades,0,0,white headphones,0,smile,hoodie down green,0,cig white,plain mfer
6344,0,0,yellow,0,0,regular eyes,0,0,white headphones,0,smile,hoodie down pink,0,cig white,plain mfer
6345,0,oyster silver,green,0,silver chain,regular eyes,0,knit chicago,black headphones,0,flat,0,0,cig black,plain mfer
6346,0,oyster gold,graveyard,0,0,zombie eyes,0,knit baltimore,white headphones,0,smile,0,0,cig black,zombie mfer
6347,0,sub red,red,0,0,vr,0,bandana dark gray,gold headphones,0,smile,0,0,pipe,plain mfer
6348,0,0,yellow,0,0,regular eyes,0,0,green headphones,0,smile,0,messy red,cig white,plain mfer
6349,0,0,green,0,0,shades,0,0,blue headphones,long hair black,smile,collared shirt pink,0,0,charcoal mfer
6350,0,sub red,red,0,0,regular eyes,0,0,black headphones,0,smile,0,messy yellow,cig white,charcoal mfer
6351,0,oyster silver,red,0,0,regular eyes,0,headband blue/red,white headphones,long hair black,smile,hoodie down green,0,0,plain mfer
6352,0,0,blue,0,0,regular eyes,0,0,blue headphones,0,flat,0,0,cig black,charcoal mfer
6353,0,sub lantern (green),orange,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt pink,0,cig black,plain mfer
6354,0,sub red,green,0,0,3D glasses,0,0,green headphones,0,smile,0,mohawk green,cig white,charcoal mfer
6355,0,sub rose,blue,full beard,0,eye mask,0,0,white headphones,0,smile,0,mohawk blue,cig white,charcoal mfer
6356,0,0,green,0,0,regular eyes,0,knit miami,white headphones,0,smile,0,0,0,plain mfer
6357,0,sub blue,blue,0,0,purple shades,0,0,black headphones,long hair yellow,smile,0,0,cig black,charcoal mfer
6358,0,oyster gold,orange,0,0,vr,0,cap monochrome,black headphones,0,smile,0,0,cig black,plain mfer
6359,0,oyster gold,graveyard,0,0,zombie eyes,0,0,black headphones,0,smile,0,0,cig black,zombie mfer
6360,0,sub red,orange,0,0,regular eyes,0,knit atlanta,black headphones,0,flat,0,0,cig black,plain mfer
6361,0,0,green,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down blue,0,cig white,plain mfer
6362,0,sub black,orange,0,0,regular eyes,0,knit baltimore,white headphones,0,smile,collared shirt white,0,cig white,charcoal mfer
6363,0,oyster silver,green,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt turquoise,0,cig black,plain mfer
6364,0,0,green,0,0,regular eyes,0,0,white headphones,long hair yellow,smile,collared shirt blue,0,0,plain mfer
6365,0,oyster silver,green,0,0,regular eyes,0,0,gold headphones,0,smile,0,messy black,0,plain mfer
6366,0,sub red,green,0,0,regular eyes,0,knit chicago,white headphones,long hair black,flat,0,0,cig black,plain mfer
6367,0,0,red,0,0,regular eyes,0,headband blue/red,black headphones,0,smile,0,0,cig white,charcoal mfer
6368,0,0,orange,full beard,0,eye mask,0,0,green headphones,long hair black,smile,0,0,cig black,charcoal mfer
6369,0,sub lantern (green),green,full beard,0,regular eyes,0,headband green/white,white headphones,0,smile,0,0,cig black,plain mfer
6370,0,sub red,orange,full beard,0,shades,0,0,black headphones,0,smile,hoodie down gray,mohawk yellow,cig black,plain mfer
6371,0,0,red,0,0,regular eyes,0,0,white headphones,long hair black,smile,0,0,pipe,charcoal mfer
6372,0,oyster gold,orange,0,silver chain,regular eyes,0,knit new york,black headphones,0,smile,0,0,cig white,plain mfer
6373,0,sub lantern (green),orange,0,0,regular eyes,0,0,white headphones,0,flat,0,mohawk yellow,cig white,charcoal mfer
6374,0,0,green,0,0,regular eyes,0,0,white headphones,0,smile,0,0,cig black,plain mfer
6375,0,0,orange,0,0,regular eyes,hoodie,0,black headphones,0,smile,0,0,cig black,charcoal mfer
6376,0,sub black,yellow,0,0,regular eyes,0,knit las vegas,black headphones,0,smile,0,0,cig black,charcoal mfer
6377,0,0,blue,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt white,0,cig white,plain mfer
6378,0,oyster silver,yellow,0,0,regular eyes,0,0,white headphones,0,smile,hoodie down red,mohawk green,cig white,plain mfer
